Training on 285 samples. Training 30000 steps.
2019-11-10 17:39:42 step:0     loss:0.8729 l_f:0.8579 loss_0:0.8609 loss_1:0.9000 
2019-11-10 17:40:08 step:20    loss:0.8621 l_f:0.8340 loss_0:0.8799 loss_1:0.8725 
Training on 285 samples. Training 30000 steps.
2019-11-10 17:39:13 step:0     loss:0.9009 l_f:0.9015 loss_0:0.9051 loss_1:0.8962 
2019-11-10 17:39:39 step:20    loss:0.9581 l_f:0.9604 loss_0:0.9571 loss_1:0.9569 
2019-11-10 17:40:04 step:40    loss:0.7737 l_f:0.7361 loss_0:0.7772 loss_1:0.8079 
Training on 285 samples. Training 30000 steps.
2019-11-10 17:41:19 step:0     loss:0.2387 l_f:0.1400 loss_0:0.1630 loss_1:0.4131 
Training on 285 samples. Training 30000 steps.
2019-11-10 17:41:03 step:0     loss:0.3253 l_f:0.2277 loss_0:0.4558 loss_1:0.2924 
2019-11-10 17:41:28 step:20    loss:0.1359 l_f:0.0586 loss_0:0.0767 loss_1:0.2723 
2019-11-10 17:41:54 step:40    loss:0.4613 l_f:0.3729 loss_0:0.4705 loss_1:0.5404 
2019-11-10 17:42:21 step:60    loss:0.4118 l_f:0.2883 loss_0:0.4433 loss_1:0.5038 
2019-11-10 17:42:48 step:80    loss:0.1704 l_f:0.0899 loss_0:0.1548 loss_1:0.2665 
2019-11-10 17:43:15 step:100   loss:0.4101 l_f:0.3442 loss_0:0.3920 loss_1:0.4941 
2019-11-10 17:43:43 step:120   loss:0.2406 l_f:0.1537 loss_0:0.2008 loss_1:0.3672 
2019-11-10 17:44:10 step:140   loss:0.4881 l_f:0.4201 loss_0:0.5517 loss_1:0.4924 
2019-11-10 17:44:37 step:160   loss:0.1196 l_f:0.0657 loss_0:0.1375 loss_1:0.1555 
2019-11-10 17:45:05 step:180   loss:0.5177 l_f:0.4633 loss_0:0.5848 loss_1:0.5050 
2019-11-10 17:45:32 step:200   loss:0.4039 l_f:0.3154 loss_0:0.4108 loss_1:0.4855 
2019-11-10 17:46:00 step:220   loss:0.3442 l_f:0.2829 loss_0:0.3369 loss_1:0.4126 
2019-11-10 17:46:28 step:240   loss:0.6099 l_f:0.5780 loss_0:0.6409 loss_1:0.6109 
2019-11-10 17:46:55 step:260   loss:0.3611 l_f:0.2476 loss_0:0.3552 loss_1:0.4805 
2019-11-10 17:47:22 step:280   loss:0.1373 l_f:0.0937 loss_0:0.1346 loss_1:0.1838 
2019-11-10 17:47:49 step:300   loss:0.1996 l_f:0.1442 loss_0:0.1937 loss_1:0.2608 
2019-11-10 17:48:17 step:320   loss:0.5454 l_f:0.4862 loss_0:0.5722 loss_1:0.5778 
2019-11-10 17:48:44 step:340   loss:0.4450 l_f:0.3576 loss_0:0.5568 loss_1:0.4208 
2019-11-10 17:49:11 step:360   loss:0.1257 l_f:0.0798 loss_0:0.1324 loss_1:0.1648 
2019-11-10 17:49:39 step:380   loss:0.2772 l_f:0.2057 loss_0:0.2514 loss_1:0.3746 
2019-11-10 17:50:06 step:400   loss:0.2164 l_f:0.1630 loss_0:0.2063 loss_1:0.2797 
2019-11-10 17:50:34 step:420   loss:0.5002 l_f:0.4627 loss_0:0.5250 loss_1:0.5129 
2019-11-10 17:51:01 step:440   loss:0.2789 l_f:0.2203 loss_0:0.2921 loss_1:0.3243 
2019-11-10 17:51:29 step:460   loss:0.1877 l_f:0.1062 loss_0:0.1589 loss_1:0.2980 
2019-11-10 17:51:56 step:480   loss:0.2296 l_f:0.1746 loss_0:0.1955 loss_1:0.3188 
2019-11-10 17:52:23 step:500   loss:0.1974 l_f:0.1308 loss_0:0.1751 loss_1:0.2864 
2019-11-10 17:52:51 step:520   loss:0.2847 l_f:0.2033 loss_0:0.2931 loss_1:0.3576 
2019-11-10 17:53:18 step:540   loss:0.1327 l_f:0.0907 loss_0:0.1189 loss_1:0.1884 
2019-11-10 17:53:45 step:560   loss:0.3229 l_f:0.1581 loss_0:0.2428 loss_1:0.5679 
2019-11-10 17:54:13 step:580   loss:0.4731 l_f:0.3951 loss_0:0.4706 loss_1:0.5536 
2019-11-10 17:54:40 step:600   loss:0.1753 l_f:0.1099 loss_0:0.1515 loss_1:0.2645 
2019-11-10 17:55:08 step:620   loss:0.3644 l_f:0.2082 loss_0:0.4322 loss_1:0.4528 
2019-11-10 17:55:36 step:640   loss:0.1857 l_f:0.1196 loss_0:0.1700 loss_1:0.2673 
2019-11-10 17:56:03 step:660   loss:0.1338 l_f:0.0822 loss_0:0.1110 loss_1:0.2082 
2019-11-10 17:56:30 step:680   loss:0.4884 l_f:0.4716 loss_0:0.4908 loss_1:0.5029 
2019-11-10 17:56:58 step:700   loss:0.2839 l_f:0.1955 loss_0:0.2562 loss_1:0.4000 
2019-11-10 17:57:25 step:720   loss:0.6089 l_f:0.5303 loss_0:0.6433 loss_1:0.6530 
2019-11-10 17:57:53 step:740   loss:0.1506 l_f:0.0984 loss_0:0.1378 loss_1:0.2156 
2019-11-10 17:58:20 step:760   loss:0.4858 l_f:0.4607 loss_0:0.5337 loss_1:0.4629 
2019-11-10 17:58:48 step:780   loss:0.1723 l_f:0.1064 loss_0:0.1310 loss_1:0.2796 
2019-11-10 17:59:15 step:800   loss:0.1687 l_f:0.1295 loss_0:0.1547 loss_1:0.2219 
2019-11-10 17:59:43 step:820   loss:0.3049 l_f:0.2221 loss_0:0.3461 loss_1:0.3466 
2019-11-10 18:00:10 step:840   loss:0.1607 l_f:0.1139 loss_0:0.1250 loss_1:0.2432 
2019-11-10 18:00:38 step:860   loss:0.1916 l_f:0.1418 loss_0:0.1838 loss_1:0.2494 
2019-11-10 18:01:05 step:880   loss:0.4473 l_f:0.4184 loss_0:0.4833 loss_1:0.4403 
2019-11-10 18:01:33 step:900   loss:0.6771 l_f:0.6238 loss_0:0.6633 loss_1:0.7443 
2019-11-10 18:02:00 step:920   loss:0.1883 l_f:0.1342 loss_0:0.1818 loss_1:0.2490 
2019-11-10 18:02:27 step:940   loss:0.4408 l_f:0.4235 loss_0:0.4633 loss_1:0.4355 
2019-11-10 18:02:55 step:960   loss:0.3835 l_f:0.3045 loss_0:0.3364 loss_1:0.5096 
2019-11-10 18:03:23 step:980   loss:0.2331 l_f:0.1337 loss_0:0.2263 loss_1:0.3394 
2019-11-10 18:03:50 step:1000  loss:0.2168 l_f:0.1386 loss_0:0.2452 loss_1:0.2668 
2019-11-10 18:04:18 step:1020  loss:0.3666 l_f:0.2520 loss_0:0.2932 loss_1:0.5545 
2019-11-10 18:04:46 step:1040  loss:0.1449 l_f:0.0670 loss_0:0.1084 loss_1:0.2592 
2019-11-10 18:05:13 step:1060  loss:0.4917 l_f:0.4752 loss_0:0.4684 loss_1:0.5314 
2019-11-10 18:05:40 step:1080  loss:0.2583 l_f:0.2003 loss_0:0.2597 loss_1:0.3148 
2019-11-10 18:06:08 step:1100  loss:0.2165 l_f:0.1376 loss_0:0.1690 loss_1:0.3428 
2019-11-10 18:06:35 step:1120  loss:0.4719 l_f:0.4337 loss_0:0.5427 loss_1:0.4393 
2019-11-10 18:07:02 step:1140  loss:0.1071 l_f:0.0802 loss_0:0.0943 loss_1:0.1468 
2019-11-10 18:07:30 step:1160  loss:0.1605 l_f:0.1287 loss_0:0.1398 loss_1:0.2130 
2019-11-10 18:07:57 step:1180  loss:0.1295 l_f:0.0735 loss_0:0.0985 loss_1:0.2163 
2019-11-10 18:08:24 step:1200  loss:0.2450 l_f:0.1913 loss_0:0.2456 loss_1:0.2982 
2019-11-10 18:08:52 step:1220  loss:0.2867 l_f:0.2180 loss_0:0.2810 loss_1:0.3611 
2019-11-10 18:09:19 step:1240  loss:0.1804 l_f:0.0989 loss_0:0.1356 loss_1:0.3066 
2019-11-10 18:09:47 step:1260  loss:0.2575 l_f:0.2021 loss_0:0.2705 loss_1:0.2998 
2019-11-10 18:10:14 step:1280  loss:0.1522 l_f:0.1137 loss_0:0.1199 loss_1:0.2230 
