Training on 285 samples. Training 30000 steps.
2019-07-29 19:46:56 step:0     loss:0.9181 
2019-07-29 19:47:06 step:20    loss:0.9081 
2019-07-29 19:47:16 step:40    loss:0.6914 
2019-07-29 19:47:26 step:60    loss:0.7171 
2019-07-29 19:47:36 step:80    loss:0.8263 
2019-07-29 19:47:47 step:100   loss:0.8948 
2019-07-29 19:47:57 step:120   loss:0.7906 
2019-07-29 19:48:07 step:140   loss:0.6497 
2019-07-29 19:48:18 step:160   loss:0.7769 
2019-07-29 19:48:29 step:180   loss:0.8014 
2019-07-29 19:48:40 step:200   loss:0.7413 
2019-07-29 19:48:51 step:220   loss:0.7110 
2019-07-29 19:49:02 step:240   loss:0.7781 
2019-07-29 19:49:13 step:260   loss:0.6967 
2019-07-29 19:49:24 step:280   loss:0.7989 
2019-07-29 19:49:34 step:300   loss:0.9376 
2019-07-29 19:49:45 step:320   loss:0.8930 
2019-07-29 19:49:56 step:340   loss:0.6878 
2019-07-29 19:50:07 step:360   loss:0.6018 
2019-07-29 19:50:18 step:380   loss:0.8165 
2019-07-29 19:50:28 step:400   loss:0.7799 
2019-07-29 19:50:39 step:420   loss:0.7311 
2019-07-29 19:50:50 step:440   loss:0.9064 
2019-07-29 19:51:01 step:460   loss:0.6110 
2019-07-29 19:51:11 step:480   loss:0.7234 
2019-07-29 19:51:22 step:500   loss:0.9785 
2019-07-29 19:51:33 step:520   loss:0.7973 
2019-07-29 19:51:43 step:540   loss:0.7678 
2019-07-29 19:51:54 step:560   loss:0.5879 
2019-07-29 19:52:05 step:580   loss:0.7939 
2019-07-29 19:52:15 step:600   loss:0.9372 
2019-07-29 19:52:26 step:620   loss:0.6672 
2019-07-29 19:52:37 step:640   loss:0.5991 
2019-07-29 19:52:48 step:660   loss:0.7350 
2019-07-29 19:52:59 step:680   loss:0.8126 
2019-07-29 19:53:09 step:700   loss:0.6349 
2019-07-29 19:53:20 step:720   loss:0.6615 
2019-07-29 19:53:31 step:740   loss:0.8179 
2019-07-29 19:53:41 step:760   loss:0.6949 
2019-07-29 19:53:52 step:780   loss:0.6992 
2019-07-29 19:54:03 step:800   loss:0.8945 
2019-07-29 19:54:14 step:820   loss:0.7122 
2019-07-29 19:54:25 step:840   loss:0.8928 
2019-07-29 19:54:35 step:860   loss:0.7747 
2019-07-29 19:54:46 step:880   loss:0.7223 
2019-07-29 19:54:57 step:900   loss:0.4547 
2019-07-29 19:55:07 step:920   loss:0.6962 
2019-07-29 19:55:18 step:940   loss:0.7135 
2019-07-29 19:55:29 step:960   loss:0.9300 
2019-07-29 19:55:39 step:980   loss:0.6551 
2019-07-29 19:55:50 step:1000  loss:0.4909 
2019-07-29 19:56:01 step:1020  loss:0.6568 
2019-07-29 19:56:12 step:1040  loss:0.8486 
2019-07-29 19:56:22 step:1060  loss:0.4942 
2019-07-29 19:56:33 step:1080  loss:0.8472 
2019-07-29 19:56:44 step:1100  loss:0.6325 
2019-07-29 19:56:54 step:1120  loss:0.8002 
2019-07-29 19:57:05 step:1140  loss:0.5285 
2019-07-29 19:57:16 step:1160  loss:0.6636 
2019-07-29 19:57:26 step:1180  loss:0.5922 
2019-07-29 19:57:37 step:1200  loss:0.7590 
2019-07-29 19:57:48 step:1220  loss:0.4133 
2019-07-29 19:57:59 step:1240  loss:0.3559 
2019-07-29 19:58:09 step:1260  loss:0.6916 
2019-07-29 19:58:20 step:1280  loss:0.4751 
2019-07-29 19:58:31 step:1300  loss:0.7173 
2019-07-29 19:58:41 step:1320  loss:0.5566 
2019-07-29 19:58:52 step:1340  loss:0.7101 
2019-07-29 19:59:03 step:1360  loss:0.8569 
2019-07-29 19:59:13 step:1380  loss:0.7045 
2019-07-29 19:59:24 step:1400  loss:0.6409 
2019-07-29 19:59:35 step:1420  loss:0.5571 
2019-07-29 19:59:46 step:1440  loss:0.8394 
2019-07-29 19:59:57 step:1460  loss:0.6134 
2019-07-29 20:00:08 step:1480  loss:0.8282 
2019-07-29 20:00:19 step:1500  loss:0.4581 
2019-07-29 20:00:30 step:1520  loss:0.6637 
2019-07-29 20:00:40 step:1540  loss:0.8173 
2019-07-29 20:00:51 step:1560  loss:0.4344 
2019-07-29 20:01:02 step:1580  loss:0.4147 
2019-07-29 20:01:13 step:1600  loss:0.8661 
2019-07-29 20:01:24 step:1620  loss:0.5983 
2019-07-29 20:01:35 step:1640  loss:0.3462 
2019-07-29 20:01:45 step:1660  loss:0.3147 
2019-07-29 20:01:56 step:1680  loss:0.4796 
2019-07-29 20:02:07 step:1700  loss:0.8028 
2019-07-29 20:02:18 step:1720  loss:0.3345 
2019-07-29 20:02:29 step:1740  loss:0.4393 
2019-07-29 20:02:39 step:1760  loss:0.6111 
2019-07-29 20:02:50 step:1780  loss:0.3758 
2019-07-29 20:03:01 step:1800  loss:0.5444 
2019-07-29 20:03:12 step:1820  loss:0.6869 
2019-07-29 20:03:23 step:1840  loss:0.6930 
2019-07-29 20:03:34 step:1860  loss:0.6452 
2019-07-29 20:03:45 step:1880  loss:0.4899 
2019-07-29 20:03:56 step:1900  loss:0.3508 
2019-07-29 20:04:07 step:1920  loss:0.8185 
2019-07-29 20:04:18 step:1940  loss:0.4325 
2019-07-29 20:04:29 step:1960  loss:0.1845 
2019-07-29 20:04:40 step:1980  loss:0.3495 
2019-07-29 20:04:50 step:2000  loss:0.5416 
2019-07-29 20:05:02 step:2020  loss:0.7808 
2019-07-29 20:05:13 step:2040  loss:0.3219 
2019-07-29 20:05:24 step:2060  loss:0.5083 
2019-07-29 20:05:34 step:2080  loss:0.4398 
2019-07-29 20:05:45 step:2100  loss:0.3628 
2019-07-29 20:05:56 step:2120  loss:0.7235 
2019-07-29 20:06:07 step:2140  loss:0.3620 
2019-07-29 20:06:18 step:2160  loss:0.2316 
2019-07-29 20:06:29 step:2180  loss:0.5057 
2019-07-29 20:06:40 step:2200  loss:0.2535 
2019-07-29 20:06:51 step:2220  loss:0.5733 
2019-07-29 20:07:02 step:2240  loss:0.4333 
2019-07-29 20:07:13 step:2260  loss:0.5073 
2019-07-29 20:07:24 step:2280  loss:0.9711 
2019-07-29 20:07:35 step:2300  loss:0.6344 
2019-07-29 20:07:46 step:2320  loss:0.5581 
2019-07-29 20:07:58 step:2340  loss:0.5870 
2019-07-29 20:08:09 step:2360  loss:0.4863 
2019-07-29 20:08:20 step:2380  loss:0.2125 
2019-07-29 20:08:31 step:2400  loss:0.2985 
2019-07-29 20:08:42 step:2420  loss:0.3964 
2019-07-29 20:08:53 step:2440  loss:0.5469 
2019-07-29 20:09:04 step:2460  loss:0.6006 
2019-07-29 20:09:15 step:2480  loss:0.6030 
2019-07-29 20:09:26 step:2500  loss:0.3407 
2019-07-29 20:09:37 step:2520  loss:0.5692 
2019-07-29 20:09:47 step:2540  loss:0.6229 
2019-07-29 20:09:58 step:2560  loss:0.5562 
2019-07-29 20:10:09 step:2580  loss:0.4349 
2019-07-29 20:10:20 step:2600  loss:0.2570 
2019-07-29 20:10:31 step:2620  loss:0.3434 
2019-07-29 20:10:43 step:2640  loss:0.2104 
2019-07-29 20:10:54 step:2660  loss:0.3630 
2019-07-29 20:11:04 step:2680  loss:0.4536 
2019-07-29 20:11:15 step:2700  loss:0.4604 
2019-07-29 20:11:26 step:2720  loss:0.5949 
2019-07-29 20:11:38 step:2740  loss:0.3692 
2019-07-29 20:11:49 step:2760  loss:0.3602 
2019-07-29 20:12:00 step:2780  loss:0.3541 
2019-07-29 20:12:10 step:2800  loss:0.3024 
2019-07-29 20:12:22 step:2820  loss:0.1956 
2019-07-29 20:12:33 step:2840  loss:0.3436 
2019-07-29 20:12:44 step:2860  loss:0.2792 
2019-07-29 20:12:54 step:2880  loss:0.2418 
2019-07-29 20:13:05 step:2900  loss:0.1656 
2019-07-29 20:13:16 step:2920  loss:0.1806 
2019-07-29 20:13:27 step:2940  loss:0.4217 
2019-07-29 20:13:38 step:2960  loss:0.4598 
2019-07-29 20:13:49 step:2980  loss:0.2871 
2019-07-29 20:14:00 step:3000  loss:0.5439 
2019-07-29 20:14:11 step:3020  loss:0.2561 
2019-07-29 20:14:22 step:3040  loss:0.2378 
2019-07-29 20:14:33 step:3060  loss:0.3510 
2019-07-29 20:14:44 step:3080  loss:0.4685 
2019-07-29 20:14:55 step:3100  loss:0.4286 
2019-07-29 20:15:06 step:3120  loss:0.8649 
2019-07-29 20:15:17 step:3140  loss:0.2197 
2019-07-29 20:15:28 step:3160  loss:0.6322 
2019-07-29 20:15:39 step:3180  loss:0.3097 
2019-07-29 20:15:50 step:3200  loss:0.4510 
2019-07-29 20:16:01 step:3220  loss:0.1893 
2019-07-29 20:16:12 step:3240  loss:0.4131 
2019-07-29 20:16:23 step:3260  loss:0.2865 
2019-07-29 20:16:34 step:3280  loss:0.6064 
2019-07-29 20:16:45 step:3300  loss:0.5522 
2019-07-29 20:16:56 step:3320  loss:0.2534 
2019-07-29 20:17:06 step:3340  loss:0.8204 
2019-07-29 20:17:17 step:3360  loss:0.1429 
2019-07-29 20:17:28 step:3380  loss:0.1887 
2019-07-29 20:17:39 step:3400  loss:0.4689 
2019-07-29 20:17:50 step:3420  loss:0.2220 
2019-07-29 20:18:01 step:3440  loss:0.3600 
2019-07-29 20:18:12 step:3460  loss:0.2922 
2019-07-29 20:18:23 step:3480  loss:0.3285 
2019-07-29 20:18:34 step:3500  loss:0.5647 
2019-07-29 20:18:45 step:3520  loss:0.1591 
2019-07-29 20:18:56 step:3540  loss:0.5245 
2019-07-29 20:19:06 step:3560  loss:0.4197 
2019-07-29 20:19:17 step:3580  loss:0.1436 
2019-07-29 20:19:29 step:3600  loss:0.2379 
2019-07-29 20:19:40 step:3620  loss:0.3480 
2019-07-29 20:19:50 step:3640  loss:0.3215 
2019-07-29 20:20:01 step:3660  loss:0.4827 
2019-07-29 20:20:12 step:3680  loss:0.8196 
2019-07-29 20:20:23 step:3700  loss:0.2063 
2019-07-29 20:20:34 step:3720  loss:0.4402 
2019-07-29 20:20:45 step:3740  loss:0.3245 
2019-07-29 20:20:55 step:3760  loss:0.6269 
2019-07-29 20:21:06 step:3780  loss:0.5377 
2019-07-29 20:21:17 step:3800  loss:0.2021 
2019-07-29 20:21:29 step:3820  loss:0.2603 
2019-07-29 20:21:39 step:3840  loss:0.2381 
2019-07-29 20:21:51 step:3860  loss:0.1203 
2019-07-29 20:22:02 step:3880  loss:0.4283 
2019-07-29 20:22:13 step:3900  loss:0.3384 
2019-07-29 20:22:24 step:3920  loss:0.3649 
2019-07-29 20:22:35 step:3940  loss:0.1101 
2019-07-29 20:22:46 step:3960  loss:0.2448 
2019-07-29 20:22:57 step:3980  loss:0.2239 
2019-07-29 20:23:08 step:4000  loss:0.1967 
2019-07-29 20:23:19 step:4020  loss:0.2020 
2019-07-29 20:23:30 step:4040  loss:0.1763 
2019-07-29 20:23:41 step:4060  loss:0.2851 
2019-07-29 20:23:51 step:4080  loss:0.2625 
2019-07-29 20:24:02 step:4100  loss:0.3512 
2019-07-29 20:24:13 step:4120  loss:0.2572 
2019-07-29 20:24:24 step:4140  loss:0.1747 
2019-07-29 20:24:35 step:4160  loss:0.7402 
2019-07-29 20:24:46 step:4180  loss:0.4167 
2019-07-29 20:24:56 step:4200  loss:0.2431 
2019-07-29 20:25:08 step:4220  loss:0.3219 
2019-07-29 20:25:18 step:4240  loss:0.1573 
2019-07-29 20:25:29 step:4260  loss:0.2891 
2019-07-29 20:25:40 step:4280  loss:0.2551 
2019-07-29 20:25:51 step:4300  loss:0.2889 
2019-07-29 20:26:02 step:4320  loss:0.5519 
2019-07-29 20:26:13 step:4340  loss:0.3731 
2019-07-29 20:26:24 step:4360  loss:0.1885 
2019-07-29 20:26:35 step:4380  loss:0.4900 
2019-07-29 20:26:46 step:4400  loss:0.2125 
2019-07-29 20:26:57 step:4420  loss:0.1807 
2019-07-29 20:27:08 step:4440  loss:0.1619 
2019-07-29 20:27:19 step:4460  loss:0.3193 
2019-07-29 20:27:30 step:4480  loss:0.5296 
2019-07-29 20:27:40 step:4500  loss:0.3257 
2019-07-29 20:27:51 step:4520  loss:0.3585 
2019-07-29 20:28:02 step:4540  loss:0.4942 
2019-07-29 20:28:13 step:4560  loss:0.2752 
2019-07-29 20:28:24 step:4580  loss:0.3665 
2019-07-29 20:28:35 step:4600  loss:0.1761 
2019-07-29 20:28:46 step:4620  loss:0.4269 
2019-07-29 20:28:57 step:4640  loss:0.5297 
2019-07-29 20:29:08 step:4660  loss:0.1159 
2019-07-29 20:29:19 step:4680  loss:0.2277 
2019-07-29 20:29:30 step:4700  loss:0.4800 
2019-07-29 20:29:41 step:4720  loss:0.3062 
2019-07-29 20:29:52 step:4740  loss:0.2742 
2019-07-29 20:30:03 step:4760  loss:0.1500 
2019-07-29 20:30:14 step:4780  loss:0.5820 
2019-07-29 20:30:25 step:4800  loss:0.1718 
2019-07-29 20:30:36 step:4820  loss:0.5196 
2019-07-29 20:30:47 step:4840  loss:0.1599 
2019-07-29 20:30:58 step:4860  loss:0.2672 
2019-07-29 20:31:09 step:4880  loss:0.2422 
