Training on 285 samples. Training 30000 steps.
2019-07-29 20:02:02 step:0     loss:0.8986 
2019-07-29 20:02:12 step:20    loss:0.8632 
2019-07-29 20:02:22 step:40    loss:0.8124 
2019-07-29 20:02:32 step:60    loss:0.8229 
2019-07-29 20:02:42 step:80    loss:0.8764 
2019-07-29 20:02:52 step:100   loss:0.8499 
2019-07-29 20:03:03 step:120   loss:0.8187 
2019-07-29 20:03:14 step:140   loss:0.7163 
2019-07-29 20:03:25 step:160   loss:0.8724 
2019-07-29 20:03:36 step:180   loss:0.8362 
2019-07-29 20:03:47 step:200   loss:0.6094 
2019-07-29 20:03:59 step:220   loss:0.6474 
2019-07-29 20:04:10 step:240   loss:0.9770 
2019-07-29 20:04:21 step:260   loss:0.6836 
2019-07-29 20:04:32 step:280   loss:0.6606 
2019-07-29 20:04:43 step:300   loss:0.8298 
2019-07-29 20:04:54 step:320   loss:0.5690 
2019-07-29 20:05:05 step:340   loss:0.8149 
2019-07-29 20:05:16 step:360   loss:0.6409 
2019-07-29 20:05:27 step:380   loss:0.8177 
2019-07-29 20:05:38 step:400   loss:0.6537 
2019-07-29 20:05:50 step:420   loss:0.7522 
2019-07-29 20:06:01 step:440   loss:0.8419 
2019-07-29 20:06:12 step:460   loss:0.8083 
2019-07-29 20:06:23 step:480   loss:0.7413 
2019-07-29 20:06:34 step:500   loss:0.8527 
2019-07-29 20:06:45 step:520   loss:0.8009 
2019-07-29 20:06:56 step:540   loss:0.7696 
2019-07-29 20:07:07 step:560   loss:0.6597 
2019-07-29 20:07:18 step:580   loss:0.9229 
2019-07-29 20:07:29 step:600   loss:0.6930 
2019-07-29 20:07:41 step:620   loss:0.6326 
2019-07-29 20:07:51 step:640   loss:0.8003 
2019-07-29 20:08:02 step:660   loss:0.8889 
2019-07-29 20:08:13 step:680   loss:0.7573 
2019-07-29 20:08:24 step:700   loss:0.7525 
2019-07-29 20:08:35 step:720   loss:0.7713 
2019-07-29 20:08:46 step:740   loss:0.6521 
2019-07-29 20:08:57 step:760   loss:0.7018 
2019-07-29 20:09:08 step:780   loss:0.8992 
2019-07-29 20:09:19 step:800   loss:0.7313 
2019-07-29 20:09:30 step:820   loss:0.5965 
2019-07-29 20:09:41 step:840   loss:0.7129 
2019-07-29 20:09:52 step:860   loss:0.7283 
2019-07-29 20:10:03 step:880   loss:0.5436 
2019-07-29 20:10:14 step:900   loss:0.8449 
2019-07-29 20:10:25 step:920   loss:0.5982 
2019-07-29 20:10:35 step:940   loss:0.5431 
2019-07-29 20:10:46 step:960   loss:0.6239 
2019-07-29 20:10:57 step:980   loss:0.6861 
2019-07-29 20:11:08 step:1000  loss:0.7869 
2019-07-29 20:11:19 step:1020  loss:0.6572 
2019-07-29 20:11:30 step:1040  loss:0.7105 
2019-07-29 20:11:41 step:1060  loss:0.6168 
2019-07-29 20:11:52 step:1080  loss:0.8433 
2019-07-29 20:12:03 step:1100  loss:0.7113 
2019-07-29 20:12:14 step:1120  loss:0.6277 
2019-07-29 20:12:25 step:1140  loss:0.5816 
2019-07-29 20:12:36 step:1160  loss:0.7624 
2019-07-29 20:12:47 step:1180  loss:0.5355 
2019-07-29 20:12:58 step:1200  loss:0.5363 
2019-07-29 20:13:09 step:1220  loss:0.5504 
2019-07-29 20:13:20 step:1240  loss:0.7024 
2019-07-29 20:13:31 step:1260  loss:0.9484 
2019-07-29 20:13:42 step:1280  loss:0.6267 
2019-07-29 20:13:53 step:1300  loss:0.6904 
2019-07-29 20:14:04 step:1320  loss:0.6325 
2019-07-29 20:14:15 step:1340  loss:0.7663 
2019-07-29 20:14:27 step:1360  loss:0.6338 
2019-07-29 20:14:38 step:1380  loss:0.7509 
2019-07-29 20:14:49 step:1400  loss:0.7363 
2019-07-29 20:15:00 step:1420  loss:0.5995 
2019-07-29 20:15:11 step:1440  loss:0.6065 
2019-07-29 20:15:22 step:1460  loss:0.6853 
2019-07-29 20:15:33 step:1480  loss:0.4781 
2019-07-29 20:15:44 step:1500  loss:0.4878 
2019-07-29 20:15:55 step:1520  loss:0.5935 
2019-07-29 20:16:06 step:1540  loss:0.6107 
2019-07-29 20:16:17 step:1560  loss:0.6135 
2019-07-29 20:16:28 step:1580  loss:0.6104 
2019-07-29 20:16:39 step:1600  loss:0.4330 
2019-07-29 20:16:50 step:1620  loss:0.7988 
2019-07-29 20:17:01 step:1640  loss:0.7291 
2019-07-29 20:17:13 step:1660  loss:0.7346 
2019-07-29 20:17:24 step:1680  loss:0.4766 
2019-07-29 20:17:35 step:1700  loss:0.6136 
2019-07-29 20:17:46 step:1720  loss:0.8362 
2019-07-29 20:17:57 step:1740  loss:0.6157 
2019-07-29 20:18:08 step:1760  loss:0.7143 
2019-07-29 20:18:19 step:1780  loss:0.5361 
2019-07-29 20:18:30 step:1800  loss:0.6762 
2019-07-29 20:18:41 step:1820  loss:0.4369 
2019-07-29 20:18:52 step:1840  loss:0.7312 
2019-07-29 20:19:04 step:1860  loss:0.4164 
2019-07-29 20:19:14 step:1880  loss:0.6950 
2019-07-29 20:19:26 step:1900  loss:0.5462 
2019-07-29 20:19:36 step:1920  loss:0.4068 
2019-07-29 20:19:47 step:1940  loss:0.5359 
2019-07-29 20:19:58 step:1960  loss:0.2732 
2019-07-29 20:20:09 step:1980  loss:0.6689 
2019-07-29 20:20:20 step:2000  loss:0.3994 
2019-07-29 20:20:32 step:2020  loss:0.5799 
2019-07-29 20:20:43 step:2040  loss:0.4680 
2019-07-29 20:20:54 step:2060  loss:0.3391 
2019-07-29 20:21:05 step:2080  loss:0.2772 
2019-07-29 20:21:16 step:2100  loss:0.7661 
2019-07-29 20:21:27 step:2120  loss:0.3823 
2019-07-29 20:21:38 step:2140  loss:0.6834 
2019-07-29 20:21:49 step:2160  loss:0.8162 
2019-07-29 20:22:00 step:2180  loss:0.7403 
2019-07-29 20:22:11 step:2200  loss:0.2364 
2019-07-29 20:22:23 step:2220  loss:0.5377 
2019-07-29 20:22:34 step:2240  loss:0.5005 
2019-07-29 20:22:45 step:2260  loss:0.6058 
2019-07-29 20:22:56 step:2280  loss:0.5077 
2019-07-29 20:23:07 step:2300  loss:0.7973 
2019-07-29 20:23:18 step:2320  loss:0.5762 
2019-07-29 20:23:29 step:2340  loss:0.4501 
2019-07-29 20:23:40 step:2360  loss:0.4326 
2019-07-29 20:23:51 step:2380  loss:0.3614 
2019-07-29 20:24:02 step:2400  loss:0.6647 
2019-07-29 20:24:13 step:2420  loss:0.5289 
2019-07-29 20:24:25 step:2440  loss:0.5404 
2019-07-29 20:24:36 step:2460  loss:0.6677 
2019-07-29 20:24:47 step:2480  loss:0.3670 
2019-07-29 20:24:58 step:2500  loss:0.4147 
2019-07-29 20:25:09 step:2520  loss:0.4323 
2019-07-29 20:25:19 step:2540  loss:0.2668 
2019-07-29 20:25:30 step:2560  loss:0.4720 
2019-07-29 20:25:41 step:2580  loss:0.8140 
2019-07-29 20:25:53 step:2600  loss:0.5813 
2019-07-29 20:26:04 step:2620  loss:0.6577 
2019-07-29 20:26:15 step:2640  loss:0.6525 
2019-07-29 20:26:26 step:2660  loss:0.5211 
2019-07-29 20:26:37 step:2680  loss:0.5784 
2019-07-29 20:26:48 step:2700  loss:0.3320 
2019-07-29 20:26:59 step:2720  loss:0.4263 
2019-07-29 20:27:10 step:2740  loss:0.3576 
2019-07-29 20:27:21 step:2760  loss:0.3544 
