Training on 285 samples. Training 30000 steps.
2019-07-29 19:59:21 step:0     loss:0.9740 
Training on 285 samples. Training 30000 steps.
2019-07-29 19:59:59 step:0     loss:0.9117 
2019-07-29 20:00:10 step:20    loss:0.9717 
2019-07-29 20:00:21 step:40    loss:0.8771 
2019-07-29 20:00:32 step:60    loss:0.9494 
2019-07-29 20:00:44 step:80    loss:0.9089 
2019-07-29 20:00:55 step:100   loss:0.9425 
2019-07-29 20:01:08 step:120   loss:0.9291 
2019-07-29 20:01:19 step:140   loss:0.9548 
2019-07-29 20:01:31 step:160   loss:0.9453 
2019-07-29 20:01:42 step:180   loss:0.9819 
2019-07-29 20:01:53 step:200   loss:0.9347 
2019-07-29 20:02:05 step:220   loss:0.9232 
2019-07-29 20:02:17 step:240   loss:0.9032 
2019-07-29 20:02:28 step:260   loss:0.9689 
2019-07-29 20:02:40 step:280   loss:0.9304 
2019-07-29 20:02:51 step:300   loss:0.8737 
2019-07-29 20:03:03 step:320   loss:0.8817 
2019-07-29 20:03:15 step:340   loss:0.7918 
2019-07-29 20:03:27 step:360   loss:0.9513 
2019-07-29 20:03:38 step:380   loss:0.8482 
2019-07-29 20:03:50 step:400   loss:0.9491 
2019-07-29 20:04:01 step:420   loss:0.8852 
2019-07-29 20:04:13 step:440   loss:0.9269 
2019-07-29 20:04:25 step:460   loss:0.8609 
2019-07-29 20:04:37 step:480   loss:0.9523 
2019-07-29 20:04:48 step:500   loss:0.7331 
2019-07-29 20:05:00 step:520   loss:0.8566 
2019-07-29 20:05:12 step:540   loss:0.9802 
2019-07-29 20:05:23 step:560   loss:0.8164 
2019-07-29 20:05:35 step:580   loss:0.7793 
2019-07-29 20:05:47 step:600   loss:0.9551 
2019-07-29 20:05:59 step:620   loss:0.7192 
2019-07-29 20:06:11 step:640   loss:0.8331 
2019-07-29 20:06:23 step:660   loss:0.8880 
2019-07-29 20:06:35 step:680   loss:0.7140 
2019-07-29 20:06:46 step:700   loss:0.8188 
2019-07-29 20:06:58 step:720   loss:0.8408 
2019-07-29 20:07:10 step:740   loss:0.7118 
2019-07-29 20:07:22 step:760   loss:0.7439 
2019-07-29 20:07:34 step:780   loss:0.8997 
2019-07-29 20:07:45 step:800   loss:0.7913 
2019-07-29 20:07:57 step:820   loss:0.9415 
2019-07-29 20:08:08 step:840   loss:0.8197 
2019-07-29 20:08:21 step:860   loss:0.7445 
2019-07-29 20:08:33 step:880   loss:0.9048 
2019-07-29 20:08:45 step:900   loss:0.8379 
2019-07-29 20:08:57 step:920   loss:0.9715 
2019-07-29 20:09:08 step:940   loss:0.8081 
2019-07-29 20:09:20 step:960   loss:0.9363 
2019-07-29 20:09:32 step:980   loss:0.9193 
2019-07-29 20:09:43 step:1000  loss:0.8409 
2019-07-29 20:09:55 step:1020  loss:0.8732 
2019-07-29 20:10:07 step:1040  loss:0.7780 
2019-07-29 20:10:19 step:1060  loss:0.7320 
2019-07-29 20:10:31 step:1080  loss:0.8322 
2019-07-29 20:10:43 step:1100  loss:0.9370 
2019-07-29 20:10:54 step:1120  loss:0.8284 
2019-07-29 20:11:06 step:1140  loss:0.7892 
2019-07-29 20:11:18 step:1160  loss:0.6854 
2019-07-29 20:11:30 step:1180  loss:0.7548 
2019-07-29 20:11:41 step:1200  loss:0.6898 
2019-07-29 20:11:53 step:1220  loss:0.9647 
2019-07-29 20:12:05 step:1240  loss:0.6830 
2019-07-29 20:12:17 step:1260  loss:0.8186 
2019-07-29 20:12:29 step:1280  loss:0.8921 
2019-07-29 20:12:40 step:1300  loss:0.8965 
2019-07-29 20:12:52 step:1320  loss:0.8063 
2019-07-29 20:13:04 step:1340  loss:0.9193 
2019-07-29 20:13:15 step:1360  loss:0.8883 
2019-07-29 20:13:27 step:1380  loss:0.9616 
2019-07-29 20:13:39 step:1400  loss:0.6824 
2019-07-29 20:13:51 step:1420  loss:0.7080 
2019-07-29 20:14:02 step:1440  loss:0.9222 
2019-07-29 20:14:15 step:1460  loss:0.7124 
2019-07-29 20:14:27 step:1480  loss:0.9260 
2019-07-29 20:14:39 step:1500  loss:0.8616 
2019-07-29 20:14:51 step:1520  loss:0.9122 
2019-07-29 20:15:03 step:1540  loss:0.8444 
2019-07-29 20:15:14 step:1560  loss:0.6433 
2019-07-29 20:15:26 step:1580  loss:0.6431 
2019-07-29 20:15:37 step:1600  loss:0.8181 
2019-07-29 20:15:50 step:1620  loss:0.9704 
2019-07-29 20:16:01 step:1640  loss:0.7233 
2019-07-29 20:16:13 step:1660  loss:0.6081 
2019-07-29 20:16:25 step:1680  loss:0.7199 
2019-07-29 20:16:36 step:1700  loss:0.6961 
2019-07-29 20:16:48 step:1720  loss:0.8332 
2019-07-29 20:17:00 step:1740  loss:0.5968 
2019-07-29 20:17:12 step:1760  loss:0.9600 
2019-07-29 20:17:23 step:1780  loss:0.7928 
2019-07-29 20:17:35 step:1800  loss:0.5748 
2019-07-29 20:17:47 step:1820  loss:0.4955 
2019-07-29 20:17:59 step:1840  loss:0.9307 
2019-07-29 20:18:10 step:1860  loss:0.8514 
2019-07-29 20:18:22 step:1880  loss:0.9172 
2019-07-29 20:18:34 step:1900  loss:0.4974 
2019-07-29 20:18:46 step:1920  loss:0.5487 
2019-07-29 20:18:58 step:1940  loss:0.9326 
2019-07-29 20:19:10 step:1960  loss:0.7727 
2019-07-29 20:19:21 step:1980  loss:0.9632 
2019-07-29 20:19:34 step:2000  loss:0.8711 
2019-07-29 20:19:46 step:2020  loss:0.7172 
2019-07-29 20:19:58 step:2040  loss:0.6959 
2019-07-29 20:20:09 step:2060  loss:0.6218 
2019-07-29 20:20:21 step:2080  loss:0.6181 
2019-07-29 20:20:32 step:2100  loss:0.4762 
2019-07-29 20:20:44 step:2120  loss:0.5115 
2019-07-29 20:20:56 step:2140  loss:0.4623 
2019-07-29 20:21:08 step:2160  loss:0.6685 
2019-07-29 20:21:20 step:2180  loss:0.7304 
2019-07-29 20:21:31 step:2200  loss:0.7913 
2019-07-29 20:21:43 step:2220  loss:0.5850 
2019-07-29 20:21:56 step:2240  loss:0.5601 
2019-07-29 20:22:08 step:2260  loss:0.5306 
2019-07-29 20:22:19 step:2280  loss:0.5455 
2019-07-29 20:22:31 step:2300  loss:0.5720 
2019-07-29 20:22:43 step:2320  loss:0.4754 
2019-07-29 20:22:55 step:2340  loss:0.4490 
2019-07-29 20:23:06 step:2360  loss:0.3873 
2019-07-29 20:23:18 step:2380  loss:0.3644 
2019-07-29 20:23:30 step:2400  loss:0.5704 
2019-07-29 20:23:42 step:2420  loss:0.6871 
2019-07-29 20:23:54 step:2440  loss:0.5078 
2019-07-29 20:24:05 step:2460  loss:0.5178 
2019-07-29 20:24:17 step:2480  loss:0.4952 
2019-07-29 20:24:29 step:2500  loss:0.5718 
2019-07-29 20:24:41 step:2520  loss:0.4251 
2019-07-29 20:24:53 step:2540  loss:0.3929 
2019-07-29 20:25:04 step:2560  loss:0.4011 
2019-07-29 20:25:16 step:2580  loss:0.4816 
2019-07-29 20:25:28 step:2600  loss:0.4928 
2019-07-29 20:25:40 step:2620  loss:0.4887 
2019-07-29 20:25:51 step:2640  loss:0.5274 
2019-07-29 20:26:03 step:2660  loss:0.5963 
2019-07-29 20:26:15 step:2680  loss:0.8558 
2019-07-29 20:26:27 step:2700  loss:0.9724 
2019-07-29 20:26:38 step:2720  loss:0.4410 
2019-07-29 20:26:50 step:2740  loss:0.5069 
2019-07-29 20:27:02 step:2760  loss:0.6860 
2019-07-29 20:27:14 step:2780  loss:0.5195 
2019-07-29 20:27:26 step:2800  loss:0.8110 
2019-07-29 20:27:38 step:2820  loss:0.6036 
2019-07-29 20:27:50 step:2840  loss:0.3134 
2019-07-29 20:28:02 step:2860  loss:0.3333 
2019-07-29 20:28:13 step:2880  loss:0.3188 
2019-07-29 20:28:25 step:2900  loss:0.6221 
2019-07-29 20:28:37 step:2920  loss:0.7698 
2019-07-29 20:28:48 step:2940  loss:0.4722 
2019-07-29 20:28:59 step:2960  loss:0.3433 
2019-07-29 20:29:11 step:2980  loss:0.5870 
2019-07-29 20:29:23 step:3000  loss:0.3252 
2019-07-29 20:29:36 step:3020  loss:0.4451 
2019-07-29 20:29:48 step:3040  loss:0.7433 
2019-07-29 20:29:59 step:3060  loss:0.3181 
2019-07-29 20:30:11 step:3080  loss:0.4069 
2019-07-29 20:30:22 step:3100  loss:0.4452 
2019-07-29 20:30:34 step:3120  loss:0.7418 
2019-07-29 20:30:46 step:3140  loss:0.3427 
2019-07-29 20:30:57 step:3160  loss:0.5615 
2019-07-29 20:31:09 step:3180  loss:0.5422 
2019-07-29 20:31:21 step:3200  loss:0.9929 
2019-07-29 20:31:33 step:3220  loss:0.5604 
2019-07-29 20:31:44 step:3240  loss:0.7714 
2019-07-29 20:31:56 step:3260  loss:0.5076 
2019-07-29 20:32:08 step:3280  loss:0.8147 
2019-07-29 20:32:20 step:3300  loss:0.5489 
2019-07-29 20:32:32 step:3320  loss:0.7207 
2019-07-29 20:32:44 step:3340  loss:0.4122 
2019-07-29 20:32:55 step:3360  loss:0.5287 
2019-07-29 20:33:07 step:3380  loss:0.4888 
2019-07-29 20:33:19 step:3400  loss:0.5599 
2019-07-29 20:33:31 step:3420  loss:0.2384 
2019-07-29 20:33:43 step:3440  loss:0.4172 
2019-07-29 20:33:54 step:3460  loss:0.3118 
2019-07-29 20:34:06 step:3480  loss:0.3053 
2019-07-29 20:34:18 step:3500  loss:0.2554 
2019-07-29 20:34:30 step:3520  loss:0.3702 
2019-07-29 20:34:41 step:3540  loss:0.7102 
2019-07-29 20:34:53 step:3560  loss:0.5871 
2019-07-29 20:35:05 step:3580  loss:0.5731 
2019-07-29 20:35:17 step:3600  loss:0.5303 
2019-07-29 20:35:29 step:3620  loss:0.8072 
2019-07-29 20:35:40 step:3640  loss:0.5404 
2019-07-29 20:35:52 step:3660  loss:0.2689 
2019-07-29 20:36:03 step:3680  loss:0.2208 
2019-07-29 20:36:15 step:3700  loss:0.3822 
2019-07-29 20:36:27 step:3720  loss:0.8325 
2019-07-29 20:36:39 step:3740  loss:0.3562 
2019-07-29 20:36:51 step:3760  loss:0.3699 
2019-07-29 20:37:02 step:3780  loss:0.4675 
2019-07-29 20:37:14 step:3800  loss:0.3528 
2019-07-29 20:37:26 step:3820  loss:0.7489 
2019-07-29 20:37:37 step:3840  loss:0.6961 
2019-07-29 20:37:48 step:3860  loss:0.8697 
2019-07-29 20:38:00 step:3880  loss:0.3891 
2019-07-29 20:38:12 step:3900  loss:0.2619 
2019-07-29 20:38:24 step:3920  loss:0.4093 
2019-07-29 20:38:35 step:3940  loss:0.6251 
2019-07-29 20:38:47 step:3960  loss:0.8160 
2019-07-29 20:38:59 step:3980  loss:0.3095 
2019-07-29 20:39:11 step:4000  loss:0.7836 
2019-07-29 20:39:23 step:4020  loss:0.8075 
2019-07-29 20:39:35 step:4040  loss:0.8186 
2019-07-29 20:39:46 step:4060  loss:0.2694 
2019-07-29 20:39:58 step:4080  loss:0.5120 
2019-07-29 20:40:10 step:4100  loss:0.2743 
2019-07-29 20:40:21 step:4120  loss:0.2667 
2019-07-29 20:40:33 step:4140  loss:0.3341 
2019-07-29 20:40:45 step:4160  loss:0.3529 
2019-07-29 20:40:57 step:4180  loss:0.3009 
2019-07-29 20:41:09 step:4200  loss:0.3141 
2019-07-29 20:41:21 step:4220  loss:0.5721 
2019-07-29 20:41:33 step:4240  loss:0.2296 
2019-07-29 20:41:44 step:4260  loss:0.3979 
2019-07-29 20:41:56 step:4280  loss:0.2548 
2019-07-29 20:42:08 step:4300  loss:0.6635 
2019-07-29 20:42:19 step:4320  loss:0.2677 
2019-07-29 20:42:31 step:4340  loss:0.3084 
2019-07-29 20:42:42 step:4360  loss:0.2380 
2019-07-29 20:42:54 step:4380  loss:0.3027 
2019-07-29 20:43:05 step:4400  loss:0.3828 
2019-07-29 20:43:17 step:4420  loss:0.2998 
2019-07-29 20:43:29 step:4440  loss:0.3266 
2019-07-29 20:43:40 step:4460  loss:0.3834 
2019-07-29 20:43:52 step:4480  loss:0.2134 
2019-07-29 20:44:04 step:4500  loss:0.4704 
2019-07-29 20:44:16 step:4520  loss:0.8326 
2019-07-29 20:44:28 step:4540  loss:0.3251 
2019-07-29 20:44:40 step:4560  loss:0.3019 
2019-07-29 20:44:51 step:4580  loss:0.4278 
2019-07-29 20:45:03 step:4600  loss:0.5610 
2019-07-29 20:45:15 step:4620  loss:0.7766 
2019-07-29 20:45:26 step:4640  loss:0.2484 
2019-07-29 20:45:38 step:4660  loss:0.4408 
2019-07-29 20:45:50 step:4680  loss:0.7028 
2019-07-29 20:46:02 step:4700  loss:0.5172 
2019-07-29 20:46:13 step:4720  loss:0.6050 
2019-07-29 20:46:25 step:4740  loss:0.2604 
2019-07-29 20:46:36 step:4760  loss:0.5620 
2019-07-29 20:46:48 step:4780  loss:0.2978 
2019-07-29 20:47:00 step:4800  loss:0.2637 
2019-07-29 20:47:12 step:4820  loss:0.6781 
2019-07-29 20:47:24 step:4840  loss:0.3165 
2019-07-29 20:47:36 step:4860  loss:0.5625 
2019-07-29 20:47:48 step:4880  loss:0.5719 
2019-07-29 20:47:59 step:4900  loss:0.2082 
2019-07-29 20:48:11 step:4920  loss:0.3130 
2019-07-29 20:48:23 step:4940  loss:0.6279 
2019-07-29 20:48:35 step:4960  loss:0.3777 
2019-07-29 20:48:47 step:4980  loss:0.7360 
2019-07-29 20:48:59 step:5000  loss:0.5425 
2019-07-29 20:49:11 step:5020  loss:0.4089 
2019-07-29 20:49:23 step:5040  loss:0.3580 
2019-07-29 20:49:34 step:5060  loss:0.1900 
2019-07-29 20:49:46 step:5080  loss:0.2315 
2019-07-29 20:49:58 step:5100  loss:0.3140 
2019-07-29 20:50:11 step:5120  loss:0.3510 
2019-07-29 20:50:22 step:5140  loss:0.3516 
2019-07-29 20:50:34 step:5160  loss:0.3806 
2019-07-29 20:50:46 step:5180  loss:0.3427 
2019-07-29 20:50:58 step:5200  loss:0.5410 
2019-07-29 20:51:10 step:5220  loss:0.2003 
2019-07-29 20:51:21 step:5240  loss:0.2593 
2019-07-29 20:51:34 step:5260  loss:0.4524 
2019-07-29 20:51:46 step:5280  loss:0.2919 
2019-07-29 20:51:57 step:5300  loss:0.4167 
2019-07-29 20:52:09 step:5320  loss:0.3850 
2019-07-29 20:52:21 step:5340  loss:0.7300 
2019-07-29 20:52:33 step:5360  loss:0.3610 
2019-07-29 20:52:44 step:5380  loss:0.2542 
2019-07-29 20:52:56 step:5400  loss:0.2459 
2019-07-29 20:53:08 step:5420  loss:0.6181 
2019-07-29 20:53:19 step:5440  loss:0.4086 
2019-07-29 20:53:31 step:5460  loss:0.3074 
2019-07-29 20:53:43 step:5480  loss:0.5797 
2019-07-29 20:53:55 step:5500  loss:0.5504 
2019-07-29 20:54:06 step:5520  loss:0.5159 
2019-07-29 20:54:18 step:5540  loss:0.4549 
2019-07-29 20:54:30 step:5560  loss:0.6426 
2019-07-29 20:54:41 step:5580  loss:0.5274 
2019-07-29 20:54:53 step:5600  loss:0.2489 
2019-07-29 20:55:05 step:5620  loss:0.6519 
2019-07-29 20:55:17 step:5640  loss:0.2250 
2019-07-29 20:55:28 step:5660  loss:0.6971 
2019-07-29 20:55:39 step:5680  loss:0.2920 
2019-07-29 20:55:51 step:5700  loss:0.3670 
2019-07-29 20:56:03 step:5720  loss:0.4107 
2019-07-29 20:56:14 step:5740  loss:0.4233 
2019-07-29 20:56:26 step:5760  loss:0.4745 
2019-07-29 20:56:37 step:5780  loss:0.3661 
2019-07-29 20:56:49 step:5800  loss:0.2196 
2019-07-29 20:57:01 step:5820  loss:0.4035 
2019-07-29 20:57:13 step:5840  loss:0.5363 
2019-07-29 20:57:25 step:5860  loss:0.5352 
2019-07-29 20:57:37 step:5880  loss:0.4431 
2019-07-29 20:57:48 step:5900  loss:0.5119 
2019-07-29 20:57:59 step:5920  loss:0.4334 
2019-07-29 20:58:12 step:5940  loss:0.4572 
2019-07-29 20:58:23 step:5960  loss:0.6879 
2019-07-29 20:58:35 step:5980  loss:0.2305 
2019-07-29 20:58:47 step:6000  loss:0.2195 
2019-07-29 20:58:58 step:6020  loss:0.3518 
2019-07-29 20:59:10 step:6040  loss:0.3202 
2019-07-29 20:59:21 step:6060  loss:0.2453 
2019-07-29 20:59:34 step:6080  loss:0.5542 
2019-07-29 20:59:45 step:6100  loss:0.8999 
2019-07-29 20:59:57 step:6120  loss:0.6917 
2019-07-29 21:00:09 step:6140  loss:0.3305 
2019-07-29 21:00:20 step:6160  loss:0.3637 
2019-07-29 21:00:32 step:6180  loss:0.3313 
2019-07-29 21:00:44 step:6200  loss:0.3676 
2019-07-29 21:00:57 step:6220  loss:0.3547 
2019-07-29 21:01:09 step:6240  loss:0.3448 
2019-07-29 21:01:20 step:6260  loss:0.2243 
2019-07-29 21:01:32 step:6280  loss:0.4646 
2019-07-29 21:01:44 step:6300  loss:0.2844 
2019-07-29 21:01:56 step:6320  loss:0.2584 
2019-07-29 21:02:08 step:6340  loss:0.1760 
2019-07-29 21:02:20 step:6360  loss:0.6083 
2019-07-29 21:02:31 step:6380  loss:0.2972 
2019-07-29 21:02:43 step:6400  loss:0.2429 
2019-07-29 21:02:55 step:6420  loss:0.1917 
2019-07-29 21:03:08 step:6440  loss:0.3032 
2019-07-29 21:03:19 step:6460  loss:0.2380 
2019-07-29 21:03:31 step:6480  loss:0.4990 
2019-07-29 21:03:43 step:6500  loss:0.5514 
2019-07-29 21:03:55 step:6520  loss:0.5306 
2019-07-29 21:04:07 step:6540  loss:0.3988 
2019-07-29 21:04:18 step:6560  loss:0.3529 
2019-07-29 21:04:30 step:6580  loss:0.2113 
2019-07-29 21:04:41 step:6600  loss:0.3447 
2019-07-29 21:04:53 step:6620  loss:0.2623 
2019-07-29 21:05:05 step:6640  loss:0.4182 
2019-07-29 21:05:16 step:6660  loss:0.2430 
2019-07-29 21:05:28 step:6680  loss:0.5594 
2019-07-29 21:05:40 step:6700  loss:0.3307 
2019-07-29 21:05:52 step:6720  loss:0.5067 
2019-07-29 21:06:04 step:6740  loss:0.5706 
2019-07-29 21:06:16 step:6760  loss:0.5917 
2019-07-29 21:06:28 step:6780  loss:0.2003 
2019-07-29 21:06:39 step:6800  loss:0.1753 
2019-07-29 21:06:51 step:6820  loss:0.3679 
2019-07-29 21:07:03 step:6840  loss:0.2968 
2019-07-29 21:07:15 step:6860  loss:0.2397 
2019-07-29 21:07:26 step:6880  loss:0.4517 
2019-07-29 21:07:38 step:6900  loss:0.3669 
2019-07-29 21:07:49 step:6920  loss:0.1735 
2019-07-29 21:08:01 step:6940  loss:0.5551 
2019-07-29 21:08:13 step:6960  loss:0.3405 
2019-07-29 21:08:24 step:6980  loss:0.3873 
2019-07-29 21:08:36 step:7000  loss:0.1791 
2019-07-29 21:08:48 step:7020  loss:0.2720 
2019-07-29 21:08:59 step:7040  loss:0.4970 
2019-07-29 21:09:11 step:7060  loss:0.4291 
2019-07-29 21:09:22 step:7080  loss:0.2910 
2019-07-29 21:09:34 step:7100  loss:0.3826 
2019-07-29 21:09:46 step:7120  loss:0.3615 
2019-07-29 21:09:57 step:7140  loss:0.2625 
2019-07-29 21:10:09 step:7160  loss:0.3133 
2019-07-29 21:10:20 step:7180  loss:0.4525 
2019-07-29 21:10:32 step:7200  loss:0.2300 
2019-07-29 21:10:44 step:7220  loss:0.6674 
2019-07-29 21:10:55 step:7240  loss:0.5483 
2019-07-29 21:11:07 step:7260  loss:0.2921 
2019-07-29 21:11:19 step:7280  loss:0.5156 
2019-07-29 21:11:30 step:7300  loss:0.3237 
2019-07-29 21:11:42 step:7320  loss:0.2462 
2019-07-29 21:11:53 step:7340  loss:0.4270 
2019-07-29 21:12:05 step:7360  loss:0.1882 
2019-07-29 21:12:16 step:7380  loss:0.3366 
2019-07-29 21:12:27 step:7400  loss:0.2258 
2019-07-29 21:12:39 step:7420  loss:0.3381 
2019-07-29 21:12:51 step:7440  loss:0.2802 
2019-07-29 21:13:03 step:7460  loss:0.6306 
2019-07-29 21:13:14 step:7480  loss:0.5471 
2019-07-29 21:13:26 step:7500  loss:0.1862 
2019-07-29 21:13:37 step:7520  loss:0.2616 
2019-07-29 21:13:49 step:7540  loss:0.7406 
2019-07-29 21:14:00 step:7560  loss:0.3322 
2019-07-29 21:14:12 step:7580  loss:0.5208 
2019-07-29 21:14:23 step:7600  loss:0.2303 
2019-07-29 21:14:35 step:7620  loss:0.1916 
2019-07-29 21:14:47 step:7640  loss:0.3353 
2019-07-29 21:14:58 step:7660  loss:0.1843 
2019-07-29 21:15:09 step:7680  loss:0.2164 
2019-07-29 21:15:21 step:7700  loss:0.2236 
2019-07-29 21:15:33 step:7720  loss:0.2841 
2019-07-29 21:15:44 step:7740  loss:0.3591 
