Training on 285 samples. Training 30000 steps.
2019-07-29 20:01:23 step:0     loss:0.9422 
2019-07-29 20:01:33 step:20    loss:0.9929 
2019-07-29 20:01:43 step:40    loss:0.8584 
2019-07-29 20:01:53 step:60    loss:0.9200 
2019-07-29 20:02:04 step:80    loss:0.9863 
2019-07-29 20:02:15 step:100   loss:0.9589 
2019-07-29 20:02:26 step:120   loss:0.9624 
2019-07-29 20:02:37 step:140   loss:0.8518 
2019-07-29 20:02:48 step:160   loss:0.8785 
2019-07-29 20:03:00 step:180   loss:0.9850 
2019-07-29 20:03:11 step:200   loss:0.7386 
2019-07-29 20:03:22 step:220   loss:0.8647 
2019-07-29 20:03:33 step:240   loss:0.7942 
2019-07-29 20:03:44 step:260   loss:0.7360 
2019-07-29 20:03:55 step:280   loss:0.7461 
2019-07-29 20:04:06 step:300   loss:0.8399 
2019-07-29 20:04:17 step:320   loss:0.6794 
2019-07-29 20:04:28 step:340   loss:0.6700 
2019-07-29 20:04:39 step:360   loss:0.9524 
2019-07-29 20:04:50 step:380   loss:0.7585 
2019-07-29 20:05:01 step:400   loss:0.7595 
2019-07-29 20:05:12 step:420   loss:0.7688 
2019-07-29 20:05:23 step:440   loss:0.6954 
2019-07-29 20:05:34 step:460   loss:0.8173 
2019-07-29 20:05:45 step:480   loss:0.8644 
2019-07-29 20:05:56 step:500   loss:0.6972 
2019-07-29 20:06:07 step:520   loss:0.7682 
2019-07-29 20:06:18 step:540   loss:0.9499 
2019-07-29 20:06:29 step:560   loss:0.9119 
2019-07-29 20:06:40 step:580   loss:0.8853 
2019-07-29 20:06:51 step:600   loss:0.6787 
2019-07-29 20:07:02 step:620   loss:0.7417 
2019-07-29 20:07:13 step:640   loss:0.6518 
2019-07-29 20:07:24 step:660   loss:0.7644 
2019-07-29 20:07:35 step:680   loss:0.7479 
2019-07-29 20:07:46 step:700   loss:0.8927 
2019-07-29 20:07:57 step:720   loss:0.6569 
2019-07-29 20:08:08 step:740   loss:0.7632 
2019-07-29 20:08:19 step:760   loss:0.7106 
2019-07-29 20:08:30 step:780   loss:0.7892 
2019-07-29 20:08:41 step:800   loss:0.6371 
2019-07-29 20:08:52 step:820   loss:0.8114 
2019-07-29 20:09:04 step:840   loss:0.6763 
2019-07-29 20:09:14 step:860   loss:0.6949 
2019-07-29 20:09:25 step:880   loss:0.7208 
2019-07-29 20:09:36 step:900   loss:0.6777 
2019-07-29 20:09:47 step:920   loss:0.6913 
2019-07-29 20:09:58 step:940   loss:0.6347 
2019-07-29 20:10:09 step:960   loss:0.6958 
2019-07-29 20:10:20 step:980   loss:0.7224 
2019-07-29 20:10:31 step:1000  loss:0.7133 
2019-07-29 20:10:42 step:1020  loss:0.7408 
2019-07-29 20:10:53 step:1040  loss:0.7133 
2019-07-29 20:11:04 step:1060  loss:0.6625 
2019-07-29 20:11:15 step:1080  loss:0.6316 
2019-07-29 20:11:26 step:1100  loss:0.8311 
2019-07-29 20:11:37 step:1120  loss:0.8845 
2019-07-29 20:11:48 step:1140  loss:0.7345 
2019-07-29 20:11:59 step:1160  loss:0.7033 
2019-07-29 20:12:10 step:1180  loss:0.6252 
2019-07-29 20:12:21 step:1200  loss:0.6229 
2019-07-29 20:12:32 step:1220  loss:0.6972 
2019-07-29 20:12:43 step:1240  loss:0.6091 
2019-07-29 20:12:54 step:1260  loss:0.7097 
2019-07-29 20:13:05 step:1280  loss:0.7335 
2019-07-29 20:13:16 step:1300  loss:0.5874 
2019-07-29 20:13:27 step:1320  loss:0.6246 
2019-07-29 20:13:38 step:1340  loss:0.7062 
2019-07-29 20:13:49 step:1360  loss:0.7086 
2019-07-29 20:14:01 step:1380  loss:0.6715 
2019-07-29 20:14:12 step:1400  loss:0.7009 
2019-07-29 20:14:23 step:1420  loss:0.7078 
2019-07-29 20:14:34 step:1440  loss:0.8278 
2019-07-29 20:14:45 step:1460  loss:0.8142 
2019-07-29 20:14:56 step:1480  loss:0.9568 
2019-07-29 20:15:07 step:1500  loss:0.7012 
2019-07-29 20:15:18 step:1520  loss:0.7002 
2019-07-29 20:15:29 step:1540  loss:0.8098 
2019-07-29 20:15:40 step:1560  loss:0.5629 
2019-07-29 20:15:51 step:1580  loss:0.6048 
2019-07-29 20:16:02 step:1600  loss:0.8641 
2019-07-29 20:16:13 step:1620  loss:0.7455 
2019-07-29 20:16:25 step:1640  loss:0.5840 
2019-07-29 20:16:36 step:1660  loss:0.6793 
2019-07-29 20:16:47 step:1680  loss:0.7636 
2019-07-29 20:16:58 step:1700  loss:0.6289 
2019-07-29 20:17:09 step:1720  loss:0.8370 
2019-07-29 20:17:20 step:1740  loss:0.6436 
2019-07-29 20:17:31 step:1760  loss:0.5838 
2019-07-29 20:17:42 step:1780  loss:0.7894 
2019-07-29 20:17:53 step:1800  loss:0.7625 
2019-07-29 20:18:05 step:1820  loss:0.7902 
2019-07-29 20:18:16 step:1840  loss:0.6006 
2019-07-29 20:18:27 step:1860  loss:0.8708 
2019-07-29 20:18:38 step:1880  loss:0.6427 
2019-07-29 20:18:49 step:1900  loss:0.6286 
2019-07-29 20:19:00 step:1920  loss:0.8107 
2019-07-29 20:19:11 step:1940  loss:0.8916 
2019-07-29 20:19:22 step:1960  loss:0.5819 
2019-07-29 20:19:33 step:1980  loss:0.7038 
2019-07-29 20:19:44 step:2000  loss:0.5899 
2019-07-29 20:19:55 step:2020  loss:0.7617 
2019-07-29 20:20:06 step:2040  loss:0.6450 
2019-07-29 20:20:17 step:2060  loss:0.5788 
2019-07-29 20:20:28 step:2080  loss:0.7539 
2019-07-29 20:20:40 step:2100  loss:0.6091 
2019-07-29 20:20:51 step:2120  loss:0.6636 
2019-07-29 20:21:02 step:2140  loss:0.7583 
2019-07-29 20:21:13 step:2160  loss:0.7024 
2019-07-29 20:21:24 step:2180  loss:0.7600 
2019-07-29 20:21:35 step:2200  loss:0.5611 
2019-07-29 20:21:47 step:2220  loss:0.6330 
2019-07-29 20:21:58 step:2240  loss:0.6634 
2019-07-29 20:22:09 step:2260  loss:0.5114 
2019-07-29 20:22:20 step:2280  loss:0.7196 
2019-07-29 20:22:31 step:2300  loss:0.7999 
2019-07-29 20:22:42 step:2320  loss:0.5049 
2019-07-29 20:22:53 step:2340  loss:0.6131 
2019-07-29 20:23:04 step:2360  loss:0.5812 
2019-07-29 20:23:15 step:2380  loss:0.7920 
2019-07-29 20:23:26 step:2400  loss:0.6231 
2019-07-29 20:23:37 step:2420  loss:0.7945 
2019-07-29 20:23:48 step:2440  loss:0.4977 
2019-07-29 20:23:59 step:2460  loss:0.7925 
2019-07-29 20:24:10 step:2480  loss:0.8989 
2019-07-29 20:24:21 step:2500  loss:0.5228 
2019-07-29 20:24:33 step:2520  loss:0.7179 
2019-07-29 20:24:44 step:2540  loss:0.7420 
2019-07-29 20:24:55 step:2560  loss:0.5746 
2019-07-29 20:25:06 step:2580  loss:0.5486 
2019-07-29 20:25:17 step:2600  loss:0.6145 
2019-07-29 20:25:28 step:2620  loss:0.5695 
2019-07-29 20:25:39 step:2640  loss:0.7017 
2019-07-29 20:25:50 step:2660  loss:0.5092 
2019-07-29 20:26:01 step:2680  loss:0.5803 
2019-07-29 20:26:12 step:2700  loss:0.5008 
2019-07-29 20:26:23 step:2720  loss:0.6720 
2019-07-29 20:26:34 step:2740  loss:0.7696 
2019-07-29 20:26:45 step:2760  loss:0.6097 
2019-07-29 20:26:56 step:2780  loss:0.5895 
2019-07-29 20:27:07 step:2800  loss:0.6885 
2019-07-29 20:27:18 step:2820  loss:0.5325 
2019-07-29 20:27:29 step:2840  loss:0.5811 
2019-07-29 20:27:40 step:2860  loss:0.5834 
2019-07-29 20:27:51 step:2880  loss:0.6658 
2019-07-29 20:28:03 step:2900  loss:0.6718 
2019-07-29 20:28:14 step:2920  loss:0.8168 
2019-07-29 20:28:25 step:2940  loss:0.5552 
2019-07-29 20:28:36 step:2960  loss:0.5429 
2019-07-29 20:28:47 step:2980  loss:0.6579 
2019-07-29 20:28:58 step:3000  loss:0.5980 
2019-07-29 20:29:09 step:3020  loss:0.5898 
2019-07-29 20:29:20 step:3040  loss:0.5814 
2019-07-29 20:29:31 step:3060  loss:0.7400 
2019-07-29 20:29:42 step:3080  loss:0.7915 
2019-07-29 20:29:53 step:3100  loss:0.5108 
2019-07-29 20:30:04 step:3120  loss:0.6868 
2019-07-29 20:30:15 step:3140  loss:0.9280 
2019-07-29 20:30:26 step:3160  loss:0.7295 
2019-07-29 20:30:37 step:3180  loss:0.6725 
2019-07-29 20:30:48 step:3200  loss:0.7258 
2019-07-29 20:30:59 step:3220  loss:0.5661 
2019-07-29 20:31:10 step:3240  loss:0.6289 
2019-07-29 20:31:21 step:3260  loss:0.6011 
2019-07-29 20:31:32 step:3280  loss:0.5438 
2019-07-29 20:31:43 step:3300  loss:0.5746 
2019-07-29 20:31:55 step:3320  loss:0.6213 
2019-07-29 20:32:06 step:3340  loss:0.5806 
2019-07-29 20:32:17 step:3360  loss:0.5192 
2019-07-29 20:32:28 step:3380  loss:0.5523 
2019-07-29 20:32:39 step:3400  loss:0.6525 
2019-07-29 20:32:50 step:3420  loss:0.5538 
2019-07-29 20:33:01 step:3440  loss:0.5614 
2019-07-29 20:33:12 step:3460  loss:0.7683 
2019-07-29 20:33:23 step:3480  loss:0.5247 
2019-07-29 20:33:34 step:3500  loss:0.5528 
2019-07-29 20:33:45 step:3520  loss:0.5212 
2019-07-29 20:33:56 step:3540  loss:0.5481 
2019-07-29 20:34:07 step:3560  loss:0.4860 
2019-07-29 20:34:18 step:3580  loss:0.8404 
2019-07-29 20:34:29 step:3600  loss:0.5827 
2019-07-29 20:34:40 step:3620  loss:0.6817 
2019-07-29 20:34:51 step:3640  loss:0.7903 
2019-07-29 20:35:02 step:3660  loss:0.8226 
2019-07-29 20:35:13 step:3680  loss:0.6105 
2019-07-29 20:35:24 step:3700  loss:0.7191 
2019-07-29 20:35:35 step:3720  loss:0.7466 
2019-07-29 20:35:47 step:3740  loss:0.7415 
2019-07-29 20:35:58 step:3760  loss:0.6193 
2019-07-29 20:36:09 step:3780  loss:0.6008 
2019-07-29 20:36:20 step:3800  loss:0.6687 
2019-07-29 20:36:31 step:3820  loss:0.7354 
2019-07-29 20:36:42 step:3840  loss:0.4849 
2019-07-29 20:36:53 step:3860  loss:0.6386 
2019-07-29 20:37:04 step:3880  loss:0.6371 
2019-07-29 20:37:15 step:3900  loss:0.9254 
2019-07-29 20:37:26 step:3920  loss:0.6937 
2019-07-29 20:37:37 step:3940  loss:0.6340 
2019-07-29 20:37:48 step:3960  loss:0.5904 
2019-07-29 20:37:58 step:3980  loss:0.5322 
2019-07-29 20:38:09 step:4000  loss:0.7413 
2019-07-29 20:38:21 step:4020  loss:0.5301 
2019-07-29 20:38:32 step:4040  loss:0.6503 
2019-07-29 20:38:43 step:4060  loss:0.5939 
2019-07-29 20:38:54 step:4080  loss:0.7507 
2019-07-29 20:39:05 step:4100  loss:0.6275 
2019-07-29 20:39:16 step:4120  loss:0.6694 
2019-07-29 20:39:27 step:4140  loss:0.5542 
2019-07-29 20:39:38 step:4160  loss:0.6797 
2019-07-29 20:39:49 step:4180  loss:0.6028 
2019-07-29 20:40:00 step:4200  loss:0.6779 
2019-07-29 20:40:11 step:4220  loss:0.7470 
2019-07-29 20:40:23 step:4240  loss:0.6018 
2019-07-29 20:40:33 step:4260  loss:0.5119 
2019-07-29 20:40:44 step:4280  loss:0.4573 
2019-07-29 20:40:55 step:4300  loss:0.5885 
2019-07-29 20:41:06 step:4320  loss:0.5817 
2019-07-29 20:41:17 step:4340  loss:0.5186 
2019-07-29 20:41:28 step:4360  loss:0.5440 
2019-07-29 20:41:39 step:4380  loss:0.4603 
2019-07-29 20:41:50 step:4400  loss:0.6089 
2019-07-29 20:42:02 step:4420  loss:0.5702 
2019-07-29 20:42:13 step:4440  loss:0.6319 
2019-07-29 20:42:24 step:4460  loss:0.6205 
2019-07-29 20:42:35 step:4480  loss:0.5024 
2019-07-29 20:42:45 step:4500  loss:0.5236 
2019-07-29 20:42:57 step:4520  loss:0.4583 
2019-07-29 20:43:08 step:4540  loss:0.7091 
2019-07-29 20:43:19 step:4560  loss:0.6602 
2019-07-29 20:43:30 step:4580  loss:0.5918 
2019-07-29 20:43:41 step:4600  loss:0.7442 
2019-07-29 20:43:52 step:4620  loss:0.5419 
2019-07-29 20:44:03 step:4640  loss:0.5289 
2019-07-29 20:44:14 step:4660  loss:0.5134 
2019-07-29 20:44:25 step:4680  loss:0.5907 
2019-07-29 20:44:36 step:4700  loss:0.7791 
2019-07-29 20:44:47 step:4720  loss:0.6875 
2019-07-29 20:44:58 step:4740  loss:0.5786 
