Training on 285 samples. Training 20000 steps.
2019-11-09 22:27:14 step:0     loss:0.9343
2019-11-09 22:27:32 step:20    loss:0.8198
2019-11-09 22:27:50 step:40    loss:0.7763
2019-11-09 22:28:08 step:60    loss:0.6899
2019-11-09 22:28:26 step:80    loss:0.8263
2019-11-09 22:28:45 step:100   loss:0.7363
2019-11-09 22:29:03 step:120   loss:0.7088
2019-11-09 22:29:22 step:140   loss:0.7449
2019-11-09 22:29:40 step:160   loss:0.7421
2019-11-09 22:29:59 step:180   loss:0.6538
2019-11-09 22:30:18 step:200   loss:0.7025
2019-11-09 22:30:37 step:220   loss:0.7542
2019-11-09 22:30:56 step:240   loss:0.7669
2019-11-09 22:31:15 step:260   loss:0.6933
2019-11-09 22:31:34 step:280   loss:0.6211
2019-11-09 22:31:53 step:300   loss:0.8162
2019-11-09 22:32:12 step:320   loss:0.8091
2019-11-09 22:32:30 step:340   loss:0.6296
2019-11-09 22:32:49 step:360   loss:0.7715
2019-11-09 22:33:08 step:380   loss:0.7161
2019-11-09 22:33:26 step:400   loss:0.7123
2019-11-09 22:33:46 step:420   loss:0.6773
2019-11-09 22:34:05 step:440   loss:0.7816
2019-11-09 22:34:24 step:460   loss:0.7235
2019-11-09 22:34:42 step:480   loss:0.7595
2019-11-09 22:35:01 step:500   loss:0.6502
2019-11-09 22:35:20 step:520   loss:0.6527
2019-11-09 22:35:38 step:540   loss:0.5430
2019-11-09 22:35:57 step:560   loss:0.7804
2019-11-09 22:36:16 step:580   loss:0.7667
2019-11-09 22:36:35 step:600   loss:0.6144
2019-11-09 22:36:54 step:620   loss:0.7753
2019-11-09 22:37:13 step:640   loss:0.6621
2019-11-09 22:37:31 step:660   loss:0.7973
2019-11-09 22:37:50 step:680   loss:0.8168
2019-11-09 22:38:09 step:700   loss:0.7337
2019-11-09 22:38:28 step:720   loss:0.6593
2019-11-09 22:38:46 step:740   loss:0.7371
2019-11-09 22:39:05 step:760   loss:0.7700
