Training on 285 samples. Training 20000 steps.
Training on 285 samples. Training 20000 steps.
Training on 285 samples. Training 20000 steps.
Training on 285 samples. Training 20000 steps.
Training on 285 samples. Training 20000 steps.
Training on 285 samples. Training 20000 steps.
Training on 285 samples. Training 20000 steps.
Training on 285 samples. Training 20000 steps.
Training on 285 samples. Training 20000 steps.
Training on 285 samples. Training 20000 steps.
2019-11-18 15:54:55 step:0     loss:0.9866
2019-11-18 15:55:16 step:20    loss:0.8220
2019-11-18 15:55:37 step:40    loss:0.8584
Training on 285 samples. Training 20000 steps.
2019-11-18 16:13:51 step:0     loss:0.9822
2019-11-18 16:14:12 step:20    loss:0.8862
2019-11-18 16:14:34 step:40    loss:0.9184
2019-11-18 16:14:56 step:60    loss:0.8210
2019-11-18 16:15:20 step:80    loss:0.8604
2019-11-18 16:15:42 step:100   loss:0.8019
2019-11-18 16:16:05 step:120   loss:0.8297
2019-11-18 16:16:28 step:140   loss:0.8700
2019-11-18 16:16:50 step:160   loss:0.7699
2019-11-18 16:17:13 step:180   loss:0.8869
2019-11-18 16:17:36 step:200   loss:0.8406
Training on 285 samples. Training 20000 steps.
2019-11-18 16:44:46 step:0     loss:0.9775
2019-11-18 16:45:07 step:20    loss:0.8709
2019-11-18 16:45:29 step:40    loss:0.9235
2019-11-18 16:45:51 step:60    loss:0.7256
2019-11-18 16:46:14 step:80    loss:0.8515
2019-11-18 16:46:36 step:100   loss:0.8305
2019-11-18 16:46:59 step:120   loss:0.7675
2019-11-18 16:47:21 step:140   loss:0.8613
2019-11-18 16:47:44 step:160   loss:0.9151
2019-11-18 16:48:06 step:180   loss:0.7989
2019-11-18 16:48:29 step:200   loss:0.7348
2019-11-18 16:48:51 step:220   loss:0.8169
2019-11-18 16:49:14 step:240   loss:0.7259
2019-11-18 16:49:36 step:260   loss:0.8040
2019-11-18 16:49:59 step:280   loss:0.7191
2019-11-18 16:50:21 step:300   loss:0.7300
2019-11-18 16:50:44 step:320   loss:0.7072
2019-11-18 16:51:06 step:340   loss:0.6049
2019-11-18 16:51:28 step:360   loss:0.6781
2019-11-18 16:51:51 step:380   loss:0.7582
2019-11-18 16:52:13 step:400   loss:0.7715
2019-11-18 16:52:36 step:420   loss:0.7310
2019-11-18 16:52:58 step:440   loss:0.9104
2019-11-18 16:53:20 step:460   loss:0.6781
2019-11-18 16:53:43 step:480   loss:0.8048
2019-11-18 16:54:05 step:500   loss:0.6209
2019-11-18 16:54:28 step:520   loss:0.7725
2019-11-18 16:54:50 step:540   loss:0.7667
2019-11-18 16:55:12 step:560   loss:0.7452
2019-11-18 16:55:35 step:580   loss:0.6922
2019-11-18 16:55:57 step:600   loss:0.5460
2019-11-18 16:56:20 step:620   loss:0.6621
2019-11-18 16:56:42 step:640   loss:0.8430
2019-11-18 16:57:05 step:660   loss:0.7154
2019-11-18 16:57:27 step:680   loss:0.8494
2019-11-18 16:57:49 step:700   loss:0.5156
2019-11-18 16:58:12 step:720   loss:0.6687
2019-11-18 16:58:34 step:740   loss:0.8388
2019-11-18 16:58:57 step:760   loss:0.7297
2019-11-18 16:59:19 step:780   loss:0.5768
2019-11-18 16:59:42 step:800   loss:0.6880
2019-11-18 17:00:04 step:820   loss:0.6324
2019-11-18 17:00:27 step:840   loss:0.6266
2019-11-18 17:00:49 step:860   loss:0.5214
2019-11-18 17:01:11 step:880   loss:0.5508
2019-11-18 17:01:34 step:900   loss:0.4588
2019-11-18 17:01:56 step:920   loss:0.5188
2019-11-18 17:02:19 step:940   loss:0.5782
2019-11-18 17:02:41 step:960   loss:0.7697
2019-11-18 17:03:03 step:980   loss:0.7903
2019-11-18 17:03:26 step:1000  loss:0.5106
2019-11-18 17:03:48 step:1020  loss:0.6849
2019-11-18 17:04:11 step:1040  loss:0.5236
2019-11-18 17:04:33 step:1060  loss:0.5550
2019-11-18 17:04:55 step:1080  loss:0.4994
2019-11-18 17:05:18 step:1100  loss:0.4608
2019-11-18 17:05:40 step:1120  loss:0.4297
2019-11-18 17:06:02 step:1140  loss:0.6837
2019-11-18 17:06:25 step:1160  loss:0.4360
2019-11-18 17:06:47 step:1180  loss:0.5430
2019-11-18 17:07:10 step:1200  loss:0.5060
2019-11-18 17:07:32 step:1220  loss:0.4162
2019-11-18 17:07:55 step:1240  loss:0.5242
2019-11-18 17:08:17 step:1260  loss:0.7275
2019-11-18 17:08:40 step:1280  loss:0.4211
2019-11-18 17:09:02 step:1300  loss:0.5845
2019-11-18 17:09:24 step:1320  loss:0.7467
2019-11-18 17:09:47 step:1340  loss:0.4154
2019-11-18 17:10:09 step:1360  loss:0.6303
2019-11-18 17:10:32 step:1380  loss:0.4157
2019-11-18 17:10:55 step:1400  loss:0.4177
2019-11-18 17:11:17 step:1420  loss:0.5317
2019-11-18 17:11:39 step:1440  loss:0.4714
2019-11-18 17:12:02 step:1460  loss:0.4230
2019-11-18 17:12:24 step:1480  loss:0.5696
2019-11-18 17:12:47 step:1500  loss:0.4877
2019-11-18 17:13:09 step:1520  loss:0.7518
2019-11-18 17:13:32 step:1540  loss:0.4586
2019-11-18 17:13:54 step:1560  loss:0.4734
2019-11-18 17:14:16 step:1580  loss:0.4021
2019-11-18 17:14:39 step:1600  loss:0.6329
2019-11-18 17:15:01 step:1620  loss:0.6927
2019-11-18 17:15:23 step:1640  loss:0.5380
2019-11-18 17:15:46 step:1660  loss:0.4420
2019-11-18 17:16:08 step:1680  loss:0.4762
2019-11-18 17:16:30 step:1700  loss:0.7128
2019-11-18 17:16:52 step:1720  loss:0.4338
2019-11-18 17:17:15 step:1740  loss:0.4557
2019-11-18 17:17:37 step:1760  loss:0.4769
2019-11-18 17:17:59 step:1780  loss:0.5294
2019-11-18 17:18:22 step:1800  loss:0.6252
2019-11-18 17:18:44 step:1820  loss:0.4530
2019-11-18 17:19:06 step:1840  loss:0.4339
2019-11-18 17:19:28 step:1860  loss:0.7465
2019-11-18 17:19:50 step:1880  loss:0.4331
2019-11-18 17:20:13 step:1900  loss:0.4490
2019-11-18 17:20:35 step:1920  loss:0.4651
2019-11-18 17:20:57 step:1940  loss:0.4332
2019-11-18 17:21:20 step:1960  loss:0.6921
2019-11-18 17:21:42 step:1980  loss:0.4398
2019-11-18 17:22:04 step:2000  loss:0.4236
2019-11-18 17:22:27 step:2020  loss:0.4382
2019-11-18 17:22:49 step:2040  loss:0.4298
2019-11-18 17:23:12 step:2060  loss:0.3996
2019-11-18 17:23:34 step:2080  loss:0.5195
2019-11-18 17:23:56 step:2100  loss:0.4138
2019-11-18 17:24:19 step:2120  loss:0.4848
2019-11-18 17:24:41 step:2140  loss:0.3981
2019-11-18 17:25:03 step:2160  loss:0.4351
2019-11-18 17:25:26 step:2180  loss:0.7010
2019-11-18 17:25:48 step:2200  loss:0.4603
2019-11-18 17:26:11 step:2220  loss:0.4098
2019-11-18 17:26:33 step:2240  loss:0.4111
2019-11-18 17:26:55 step:2260  loss:0.4703
2019-11-18 17:27:18 step:2280  loss:0.6184
2019-11-18 17:27:40 step:2300  loss:0.4208
2019-11-18 17:28:02 step:2320  loss:0.6260
2019-11-18 17:28:25 step:2340  loss:0.4141
2019-11-18 17:28:47 step:2360  loss:0.4232
2019-11-18 17:29:09 step:2380  loss:0.4113
2019-11-18 17:29:31 step:2400  loss:0.4528
2019-11-18 17:29:54 step:2420  loss:0.4874
2019-11-18 17:30:16 step:2440  loss:0.5282
2019-11-18 17:30:38 step:2460  loss:0.4533
2019-11-18 17:31:00 step:2480  loss:0.4347
2019-11-18 17:31:23 step:2500  loss:0.3961
2019-11-18 17:31:45 step:2520  loss:0.5330
2019-11-18 17:32:07 step:2540  loss:0.7078
2019-11-18 17:32:30 step:2560  loss:0.7037
2019-11-18 17:32:52 step:2580  loss:0.3854
2019-11-18 17:33:15 step:2600  loss:0.7416
2019-11-18 17:33:37 step:2620  loss:0.4401
2019-11-18 17:33:59 step:2640  loss:0.5087
2019-11-18 17:34:22 step:2660  loss:0.7113
2019-11-18 17:34:44 step:2680  loss:0.3904
2019-11-18 17:35:06 step:2700  loss:0.3916
2019-11-18 17:35:29 step:2720  loss:0.4337
2019-11-18 17:35:51 step:2740  loss:0.4342
2019-11-18 17:36:13 step:2760  loss:0.3915
2019-11-18 17:36:36 step:2780  loss:0.4329
2019-11-18 17:36:58 step:2800  loss:0.6911
2019-11-18 17:37:21 step:2820  loss:0.4273
2019-11-18 17:37:43 step:2840  loss:0.3904
2019-11-18 17:38:06 step:2860  loss:0.4221
2019-11-18 17:38:28 step:2880  loss:0.4738
2019-11-18 17:38:51 step:2900  loss:0.4312
2019-11-18 17:39:13 step:2920  loss:0.3901
2019-11-18 17:39:35 step:2940  loss:0.4109
2019-11-18 17:39:58 step:2960  loss:0.3957
2019-11-18 17:40:20 step:2980  loss:0.3896
2019-11-18 17:40:43 step:3000  loss:0.4388
2019-11-18 17:41:05 step:3020  loss:0.4049
2019-11-18 17:41:28 step:3040  loss:0.4635
2019-11-18 17:41:51 step:3060  loss:0.4875
2019-11-18 17:42:13 step:3080  loss:0.4851
2019-11-18 17:42:36 step:3100  loss:0.4300
2019-11-18 17:42:58 step:3120  loss:0.3828
2019-11-18 17:43:20 step:3140  loss:0.3742
2019-11-18 17:43:43 step:3160  loss:0.3951
2019-11-18 17:44:06 step:3180  loss:0.3778
2019-11-18 17:44:28 step:3200  loss:0.3790
2019-11-18 17:44:50 step:3220  loss:0.4077
2019-11-18 17:45:13 step:3240  loss:0.4364
2019-11-18 17:45:35 step:3260  loss:0.3627
2019-11-18 17:45:57 step:3280  loss:0.3671
2019-11-18 17:46:20 step:3300  loss:0.3642
2019-11-18 17:46:42 step:3320  loss:0.4120
2019-11-18 17:47:05 step:3340  loss:0.3985
2019-11-18 17:47:27 step:3360  loss:0.3944
2019-11-18 17:47:50 step:3380  loss:0.4371
2019-11-18 17:48:12 step:3400  loss:0.4090
2019-11-18 17:48:35 step:3420  loss:0.3983
2019-11-18 17:48:57 step:3440  loss:0.6688
2019-11-18 17:49:20 step:3460  loss:0.6823
2019-11-18 17:49:42 step:3480  loss:0.3949
2019-11-18 17:50:05 step:3500  loss:0.4050
2019-11-18 17:50:27 step:3520  loss:0.6954
2019-11-18 17:50:49 step:3540  loss:0.4332
2019-11-18 17:51:12 step:3560  loss:0.4052
2019-11-18 17:51:35 step:3580  loss:0.4415
2019-11-18 17:51:57 step:3600  loss:0.3811
2019-11-18 17:52:19 step:3620  loss:0.3969
2019-11-18 17:52:42 step:3640  loss:0.4327
2019-11-18 17:53:04 step:3660  loss:0.3973
2019-11-18 17:53:27 step:3680  loss:0.4120
2019-11-18 17:53:49 step:3700  loss:0.4165
2019-11-18 17:54:12 step:3720  loss:0.4119
2019-11-18 17:54:34 step:3740  loss:0.3780
2019-11-18 17:54:57 step:3760  loss:0.4106
2019-11-18 17:55:19 step:3780  loss:0.3869
2019-11-18 17:55:42 step:3800  loss:0.3725
2019-11-18 17:56:04 step:3820  loss:0.6875
2019-11-18 17:56:27 step:3840  loss:0.4011
2019-11-18 17:56:50 step:3860  loss:0.3612
2019-11-18 17:57:12 step:3880  loss:0.4087
2019-11-18 17:57:35 step:3900  loss:0.3939
2019-11-18 17:57:58 step:3920  loss:0.4267
2019-11-18 17:58:21 step:3940  loss:0.3910
2019-11-18 17:58:44 step:3960  loss:0.3849
2019-11-18 17:59:06 step:3980  loss:0.3716
2019-11-18 17:59:29 step:4000  loss:0.4848
2019-11-18 17:59:52 step:4020  loss:0.4132
2019-11-18 18:00:14 step:4040  loss:0.4083
2019-11-18 18:00:37 step:4060  loss:0.3665
2019-11-18 18:01:00 step:4080  loss:0.4416
2019-11-18 18:01:22 step:4100  loss:0.4587
2019-11-18 18:01:45 step:4120  loss:0.4285
2019-11-18 18:02:08 step:4140  loss:0.3710
2019-11-18 18:02:30 step:4160  loss:0.3817
