Training on 285 samples. Training 20000 steps.
2019-11-09 16:53:57 step:6300  loss:0.1310
2019-11-09 16:54:15 step:6320  loss:0.2621
2019-11-09 16:54:34 step:6340  loss:0.2031
2019-11-09 16:54:52 step:6360  loss:0.2113
2019-11-09 16:55:11 step:6380  loss:0.2017
2019-11-09 16:55:30 step:6400  loss:0.2951
2019-11-09 16:55:49 step:6420  loss:0.2194
2019-11-09 16:56:08 step:6440  loss:0.1004
2019-11-09 16:56:27 step:6460  loss:0.1936
2019-11-09 16:56:47 step:6480  loss:0.1931
2019-11-09 16:57:06 step:6500  loss:0.2227
2019-11-09 16:57:25 step:6520  loss:0.1577
2019-11-09 16:57:44 step:6540  loss:0.3014
2019-11-09 16:58:03 step:6560  loss:0.2043
2019-11-09 16:58:21 step:6580  loss:0.2283
2019-11-09 16:58:40 step:6600  loss:0.3002
2019-11-09 16:58:59 step:6620  loss:0.2523
2019-11-09 16:59:18 step:6640  loss:0.2135
2019-11-09 16:59:37 step:6660  loss:0.2408
2019-11-09 16:59:56 step:6680  loss:0.1913
2019-11-09 17:00:14 step:6700  loss:0.2484
2019-11-09 17:00:33 step:6720  loss:0.1145
2019-11-09 17:00:52 step:6740  loss:0.1835
2019-11-09 17:01:11 step:6760  loss:0.1306
2019-11-09 17:01:30 step:6780  loss:0.1231
2019-11-09 17:01:48 step:6800  loss:0.2336
2019-11-09 17:02:08 step:6820  loss:0.1662
2019-11-09 17:02:27 step:6840  loss:0.1766
2019-11-09 17:02:45 step:6860  loss:0.1669
2019-11-09 17:03:04 step:6880  loss:0.1981
2019-11-09 17:03:23 step:6900  loss:0.1819
2019-11-09 17:03:42 step:6920  loss:0.1255
2019-11-09 17:04:01 step:6940  loss:0.2633
2019-11-09 17:04:19 step:6960  loss:0.2032
2019-11-09 17:04:38 step:6980  loss:0.2003
2019-11-09 17:04:57 step:7000  loss:0.1295
2019-11-09 17:05:16 step:7020  loss:0.1594
2019-11-09 17:05:35 step:7040  loss:0.2553
2019-11-09 17:05:54 step:7060  loss:0.2401
2019-11-09 17:06:12 step:7080  loss:0.2632
2019-11-09 17:06:31 step:7100  loss:0.1721
