Training on 285 samples. Training 30000 steps.
2019-07-19 08:51:03 step:0     loss:0.9754 l_f:0.9801 loss_0:0.9721 loss_1:0.9739 
Training on 285 samples. Training 30000 steps.
2019-07-19 08:51:25 step:0     loss:0.9493 l_f:0.9515 loss_0:0.9439 loss_1:0.9525 
2019-07-19 08:51:50 step:20    loss:0.8755 l_f:0.8500 loss_0:0.9041 loss_1:0.8725 
2019-07-19 08:52:16 step:40    loss:0.8858 l_f:0.8442 loss_0:0.9379 loss_1:0.8755 
2019-07-19 08:52:42 step:60    loss:0.7926 l_f:0.7273 loss_0:0.8549 loss_1:0.7957 
2019-07-19 08:53:10 step:80    loss:0.8123 l_f:0.7908 loss_0:0.8689 loss_1:0.7772 
2019-07-19 08:53:37 step:100   loss:0.8473 l_f:0.8502 loss_0:0.8640 loss_1:0.8276 
2019-07-19 08:54:04 step:120   loss:0.9291 l_f:0.9230 loss_0:0.9550 loss_1:0.9093 
2019-07-19 08:54:32 step:140   loss:0.6395 l_f:0.5597 loss_0:0.6367 loss_1:0.7222 
Training on 285 samples. Training 30000 steps.
2019-07-21 11:55:29 step:0     loss:0.9058 l_f:0.9094 loss_0:0.9045 loss_1:0.9037 
2019-07-21 11:55:54 step:20    loss:0.8746 l_f:0.8718 loss_0:0.8764 loss_1:0.8757 
2019-07-21 11:56:19 step:40    loss:0.9324 l_f:0.9122 loss_0:0.9447 loss_1:0.9403 
2019-07-21 11:56:45 step:60    loss:0.8667 l_f:0.8193 loss_0:0.8911 loss_1:0.8897 
2019-07-21 11:57:13 step:80    loss:0.8396 l_f:0.7839 loss_0:0.8685 loss_1:0.8663 
2019-07-21 11:57:42 step:100   loss:0.9221 l_f:0.9246 loss_0:0.9216 loss_1:0.9201 
2019-07-21 11:58:10 step:120   loss:0.9195 l_f:0.8605 loss_0:0.9512 loss_1:0.9468 
2019-07-21 11:58:37 step:140   loss:0.8408 l_f:0.7064 loss_0:0.9146 loss_1:0.9014 
2019-07-21 11:59:04 step:160   loss:0.9359 l_f:0.9239 loss_0:0.9451 loss_1:0.9388 
